[2020-07-05 16:46:25.571] s0	S1	S2	time	d	p	DIR	Angle	Kp	Kd	Speed
[2020-07-05 16:46:25.580]   70	 192	 300	  761590	-69.00	-0.21	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.587]   70	 190	 300	  761621	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.609]   70	 190	 300	  761641	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.629]   70	 192	 300	  761661	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.660]   70	 197	 300	  761691	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.681]   70	 206	 300	  761711	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.700]   70	 213	 300	  761731	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.730]   70	 227	 300	  761761	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.779]   70	 235	 300	  761781	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.785]   70	 236	 300	  761801	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.801]   70	 239	 300	  761831	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.822]   70	 245	 300	  761851	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.835]   70	 252	 300	  761871	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.882]   70	 258	 300	  761901	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.907]   70	 275	 300	  761921	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.918]   70	 301	 300	  761941	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.939]   70	 332	 300	  761971	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.959]   70	 369	 300	  761991	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:25.980]   72	 395	 300	  762011	-68.40	 3.00	2	 65	0.60	0.10	160
[2020-07-05 16:46:26.009]   77	 416	 300	  762041	-67.20	 4.00	2	 63	0.60	0.10	160
[2020-07-05 16:46:26.040]   80	 415	 298	  762061	-65.40	 9.00	2	 56	0.60	0.10	160
[2020-07-05 16:46:26.060]   84	 439	 286	  762091	-60.60	16.00	2	 44	0.60	0.10	160
[2020-07-05 16:46:26.089]   89	 488	 275	  762111	-55.80	24.00	2	 31	0.60	0.10	160
[2020-07-05 16:46:26.124]   96	 504	 264	  762131	-50.40	27.00	2	 23	0.60	0.10	160
[2020-07-05 16:46:26.140]  105	 517	 254	  762161	-45.00	18.00	2	 26	0.60	0.10	160
[2020-07-05 16:46:26.160]  119	 516	 244	  762181	-37.80	36.00	2	  1	0.60	0.10	160
[2020-07-05 16:46:26.183]  120	 493	 231	  762201	-33.60	21.00	2	 12	0.60	0.10	160
[2020-07-05 16:46:26.207]  130	 475	 225	  762231	-28.80	16.00	2	 12	0.60	0.10	160
[2020-07-05 16:46:26.274]  133	 459	 225	  762251	-27.60	 6.00	2	 21	0.60	0.10	160
[2020-07-05 16:46:26.292]  135	 458	 229	  762271	-28.20	-3.00	2	 31	0.60	0.10	160
[2020-07-05 16:46:26.323]  142	 451	 229	  762301	-26.40	 6.00	2	 20	0.60	0.10	160
[2020-07-05 16:46:26.329]  138	 442	 232	  762321	-28.20	-9.00	2	 37	0.60	0.10	160
[2020-07-05 16:46:26.339]  139	 442	 235	  762341	-28.80	-3.00	2	 31	0.60	0.10	160
[2020-07-05 16:46:26.344]  153	 443	 234	  762371	-24.60	14.00	2	 10	0.60	0.10	160
[2020-07-05 16:46:26.358]  171	 438	 237	  762391	-19.80	24.00	0	  4	0.60	0.10	160
[2020-07-05 16:46:26.379]  173	 442	 238	  762411	-19.80	 0.00	2	 19	0.60	0.10	160
[2020-07-05 16:46:26.421]  190	 432	 237	  762441	-14.40	18.00	0	  3	0.60	0.10	160
[2020-07-05 16:46:26.435]  204	 422	 241	  762461	-11.40	15.00	0	  3	0.60	0.10	160
[2020-07-05 16:46:26.466]  216	 405	 255	  762491	-12.00	-2.00	2	 13	0.60	0.10	160
[2020-07-05 16:46:26.478]  226	 394	 288	  762511	-18.60	-33.00	2	 51	0.60	0.10	160
[2020-07-05 16:46:26.501]  233	 373	 300	  762531	-20.40	-9.00	2	 29	0.60	0.10	160
[2020-07-05 16:46:26.529]  239	 359	 300	  762561	-18.60	 6.00	2	 12	0.60	0.10	160
[2020-07-05 16:46:26.551]  239	 346	 300	  762581	-18.60	 0.00	2	 18	0.60	0.10	160
[2020-07-05 16:46:26.613]  240	 335	 300	  762601	-18.00	 3.00	2	 14	0.60	0.10	160
[2020-07-05 16:46:26.646]  239	 323	 300	  762631	-18.60	-2.00	2	 20	0.60	0.10	160
[2020-07-05 16:46:26.653]  234	 310	 300	  762651	-19.80	-6.00	2	 25	0.60	0.10	160
[2020-07-05 16:46:26.655]  230	 303	 300	  762671	-21.00	-6.00	2	 26	0.60	0.10	160
[2020-07-05 16:46:26.660]  222	 296	 300	  762693	-23.40	-10.91	2	 34	0.60	0.10	160
[2020-07-05 16:46:26.690]  215	 288	 300	  762722	-25.80	-8.28	2	 34	0.60	0.10	160
[2020-07-05 16:46:26.709]  205	 278	 300	  762742	-28.80	-15.00	2	 43	0.60	0.10	160
[2020-07-05 16:46:26.730]  192	 271	 300	  762763	-32.40	-17.14	2	 49	0.60	0.10	160
[2020-07-05 16:46:26.773]  182	 263	 300	  762793	-35.40	-10.00	2	 45	0.60	0.10	160
[2020-07-05 16:46:26.783]  170	 258	 300	  762813	-39.00	-18.00	2	 56	0.60	0.10	160
[2020-07-05 16:46:26.810]  156	 254	 300	  762843	-43.20	-14.00	2	 57	0.60	0.10	160
[2020-07-05 16:46:26.841]  142	 255	 300	  762864	-47.40	-20.00	2	 67	0.60	0.10	160
[2020-07-05 16:46:26.854]  128	 253	 300	  762884	-51.60	-21.00	2	 72	0.60	0.10	160
[2020-07-05 16:46:26.875]  128	 255	 300	  762905	-51.60	 0.00	2	 51	0.60	0.10	160
[2020-07-05 16:46:26.902]  125	 252	 300	  762935	-52.80	-4.00	2	 56	0.60	0.10	160
[2020-07-05 16:46:26.927]  121	 259	 300	  762955	-54.00	-6.00	2	 60	0.60	0.10	160
[2020-07-05 16:46:26.943]  120	 256	 300	  762975	-54.00	 0.00	2	 54	0.60	0.10	160
[2020-07-05 16:46:26.971]  124	 253	 300	  763005	-52.80	 4.00	2	 48	0.60	0.10	160
[2020-07-05 16:46:27.008]  119	 261	 300	  763025	-54.60	-9.00	2	 63	0.60	0.10	160
[2020-07-05 16:46:27.036]  121	 266	 300	  763055	-54.00	 2.00	2	 52	0.60	0.10	160
[2020-07-05 16:46:27.066]  119	 262	 300	  763075	-54.60	-3.00	2	 57	0.60	0.10	160
[2020-07-05 16:46:27.070]  126	 258	 300	  763095	-52.20	12.00	2	 40	0.60	0.10	160
[2020-07-05 16:46:27.091]  125	 260	 300	  763125	-52.80	-2.00	2	 54	0.60	0.10	160
[2020-07-05 16:46:27.113]  126	 264	 300	  763145	-52.20	 3.00	2	 49	0.60	0.10	160
[2020-07-05 16:46:27.134]  131	 269	 300	  763165	-51.00	 6.00	2	 45	0.60	0.10	160
[2020-07-05 16:46:27.165]  130	 269	 300	  763195	-51.00	 0.00	2	 51	0.60	0.10	160
[2020-07-05 16:46:27.184]  127	 266	 300	  763215	-52.20	-6.00	2	 58	0.60	0.10	160
[2020-07-05 16:46:27.204]  131	 256	 300	  763235	-51.00	 6.00	2	 45	0.60	0.10	160
[2020-07-05 16:46:27.232]  129	 246	 300	  763265	-51.60	-2.00	2	 53	0.60	0.10	160
[2020-07-05 16:46:27.252]  128	 237	 300	  763285	-51.60	 0.00	2	 51	0.60	0.10	160
[2020-07-05 16:46:27.272]  130	 238	 300	  763305	-51.00	 3.00	2	 48	0.60	0.10	160
[2020-07-05 16:46:27.300]  127	 245	 300	  763335	-52.20	-4.00	2	 56	0.60	0.10	160
[2020-07-05 16:46:27.358]  125	 245	 300	  763355	-52.80	-3.00	2	 55	0.60	0.10	160
[2020-07-05 16:46:27.384]  126	 238	 300	  763375	-52.20	 3.00	2	 49	0.60	0.10	160
[2020-07-05 16:46:27.388]  125	 232	 300	  763405	-52.80	-2.00	2	 54	0.60	0.10	160
[2020-07-05 16:46:27.390]  122	 229	 300	  763425	-53.40	-3.00	2	 56	0.60	0.10	160
[2020-07-05 16:46:27.412]  117	 225	 300	  763445	-55.20	-9.00	2	 64	0.60	0.10	160
[2020-07-05 16:46:27.443]  106	 225	 300	  763475	-58.20	-10.00	2	 68	0.60	0.10	160
[2020-07-05 16:46:27.462]  105	 221	 300	  763495	-58.80	-3.00	2	 61	0.60	0.10	160
[2020-07-05 16:46:27.484]  102	 213	 300	  763515	-59.40	-3.00	2	 62	0.60	0.10	160
[2020-07-05 16:46:27.512]  103	 226	 300	  763545	-59.40	 0.00	2	 59	0.60	0.10	160
[2020-07-05 16:46:27.534]   99	 239	 300	  763565	-60.60	-6.00	2	 66	0.60	0.10	160
[2020-07-05 16:46:27.562]   93	 238	 300	  763595	-62.40	-6.00	2	 68	0.60	0.10	160
[2020-07-05 16:46:27.592]   88	 245	 300	  763615	-63.60	-6.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:27.608]   88	 251	 300	  763635	-63.60	 0.00	2	 63	0.60	0.10	160
[2020-07-05 16:46:27.633]   93	 265	 300	  763665	-62.40	 4.00	2	 58	0.60	0.10	160
[2020-07-05 16:46:27.654]   95	 276	 300	  763685	-61.80	 3.00	2	 58	0.60	0.10	160
[2020-07-05 16:46:27.711]   97	 286	 300	  763705	-61.20	 3.00	2	 58	0.60	0.10	160
[2020-07-05 16:46:27.748]  103	 307	 296	  763735	-58.20	10.00	2	 48	0.60	0.10	160
[2020-07-05 16:46:27.766]  115	 336	 280	  763755	-49.80	42.00	2	  7	0.60	0.10	160
[2020-07-05 16:46:27.772]  116	 390	 259	  763775	-43.20	33.00	2	 10	0.60	0.10	160
[2020-07-05 16:46:27.778]  115	 428	 253	  763805	-41.40	 6.00	2	 35	0.60	0.10	160
[2020-07-05 16:46:27.792]  120	 447	 242	  763825	-36.60	24.00	2	 12	0.60	0.10	160
[2020-07-05 16:46:27.817]  126	 440	 234	  763845	-32.40	21.00	2	 11	0.60	0.10	160
[2020-07-05 16:46:27.843]  124	 427	 229	  763875	-31.80	 2.00	2	 29	0.60	0.10	160
[2020-07-05 16:46:27.861]  124	 414	 229	  763895	-31.80	 0.00	2	 31	0.60	0.10	160
[2020-07-05 16:46:27.896]  121	 439	 227	  763915	-31.80	 0.00	2	 31	0.60	0.10	160
[2020-07-05 16:46:27.917]  123	 475	 228	  763945	-31.80	 0.00	2	 31	0.60	0.10	160
[2020-07-05 16:46:27.933]  124	 687	 228	  763965	-31.20	 3.00	2	 28	0.60	0.10	160
[2020-07-05 16:46:27.952]  125	 764	 221	  763985	-28.80	12.00	2	 16	0.60	0.10	160
[2020-07-05 16:46:27.983]  128	1067	 217	  764015	-27.00	 6.00	2	 21	0.60	0.10	160
[2020-07-05 16:46:28.005]  131	1130	 210	  764035	-24.00	15.00	2	  8	0.60	0.10	160
[2020-07-05 16:46:28.053]  135	1126	 211	  764055	-22.80	 6.00	2	 16	0.60	0.10	160
[2020-07-05 16:46:28.106]  142	1102	 199	  764085	-17.40	18.00	1	  0	0.60	0.10	160
[2020-07-05 16:46:28.123]  146	1134	 190	  764105	-13.20	21.00	0	  7	0.60	0.10	160
[2020-07-05 16:46:28.128]  152	1126	 178	  764135	-7.80	18.00	0	 10	0.60	0.10	160
[2020-07-05 16:46:28.134]  162	1051	 177	  764155	-4.80	15.00	0	 10	0.60	0.10	160
[2020-07-05 16:46:28.140]  170	1000	 176	  764175	-1.80	15.00	0	 13	0.60	0.10	160
[2020-07-05 16:46:28.172]  175	 946	 169	  764205	 1.80	12.00	0	 13	0.60	0.10	160
[2020-07-05 16:46:28.193]  177	 857	 168	  764225	 2.40	 3.00	0	  5	0.60	0.10	160
[2020-07-05 16:46:28.216]  178	 800	 170	  764245	 2.40	 0.00	0	  2	0.60	0.10	160
[2020-07-05 16:46:28.249]  182	 772	 173	  764275	 2.40	 0.00	0	  2	0.60	0.10	160
[2020-07-05 16:46:28.263]  174	 692	 179	  764295	-1.80	-21.00	2	 22	0.60	0.10	160
[2020-07-05 16:46:28.288]  165	 637	 190	  764315	-7.80	-30.00	2	 37	0.60	0.10	160
[2020-07-05 16:46:28.318]  169	 587	 197	  764345	-8.40	-2.00	2	 10	0.60	0.10	160
[2020-07-05 16:46:28.343]  176	 567	 212	  764365	-10.80	-12.00	2	 22	0.60	0.10	160
[2020-07-05 16:46:28.352]  177	 521	 247	  764385	-21.00	-51.00	2	 72	0.60	0.10	160
[2020-07-05 16:46:28.399]  184	 480	 300	  764415	-34.80	-46.00	2	 80	0.60	0.10	160
[2020-07-05 16:46:28.411]  191	 452	 300	  764435	-33.00	 9.00	2	 23	0.60	0.10	160
[2020-07-05 16:46:28.450]  203	 421	 300	  764455	-29.40	18.00	2	 11	0.60	0.10	160
[2020-07-05 16:46:28.489]  212	 389	 300	  764485	-26.40	10.00	2	 16	0.60	0.10	160
[2020-07-05 16:46:28.494]  221	 365	 300	  764505	-24.00	12.00	2	 11	0.60	0.10	160
[2020-07-05 16:46:28.500]  241	 345	 300	  764525	-18.00	30.00	0	 12	0.60	0.10	160
[2020-07-05 16:46:28.527]  249	 323	 300	  764555	-15.60	 8.00	2	  7	0.60	0.10	160
[2020-07-05 16:46:28.542]  242	 309	 300	  764575	-17.40	-9.00	2	 26	0.60	0.10	160
[2020-07-05 16:46:28.562]  236	 291	 300	  764595	-19.20	-9.00	2	 28	0.60	0.10	160
[2020-07-05 16:46:28.594]  229	 268	 300	  764625	-21.60	-8.00	2	 29	0.60	0.10	160
[2020-07-05 16:46:28.616]  215	 252	 300	  764645	-25.80	-21.00	2	 46	0.60	0.10	160
[2020-07-05 16:46:28.638]  203	 230	 300	  764666	-29.40	-17.14	2	 46	0.60	0.10	160
[2020-07-05 16:46:28.679]  189	 209	 300	  764695	-33.60	-14.48	2	 48	0.60	0.10	160
[2020-07-05 16:46:28.690]  166	 189	 300	  764715	-40.20	-33.00	2	 73	0.60	0.10	160
[2020-07-05 16:46:28.712]  145	 173	 300	  764745	-46.80	-22.00	2	 68	0.60	0.10	160
[2020-07-05 16:46:28.733]  125	 151	 300	  764765	-52.80	-30.00	2	 82	0.60	0.10	160
[2020-07-05 16:46:28.752]  106	 137	 300	  764785	-58.20	-27.00	2	 85	0.60	0.10	160
[2020-07-05 16:46:28.782]   85	 123	 300	  764815	-64.80	-22.00	2	 86	0.60	0.10	160
[2020-07-05 16:46:28.844]   72	 113	 300	  764835	-68.40	-18.00	2	 86	0.60	0.10	160
[2020-07-05 16:46:28.853]   70	 104	 300	  764855	-69.00	-3.00	2	 71	0.60	0.10	160
[2020-07-05 16:46:28.992]   70	  94	 300	  764985	-69.00	 0.00	0	 69	0.60	0.10	160
[2020-07-05 16:46:29.077]   70	  77	 300	  765105	-69.00	 0.00	0	 69	0.60	0.10	160
[2020-07-05 16:46:29.094]   70	 144	 300	  765125	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.119]   70	 133	 300	  765145	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.188]   70	 113	 300	  765175	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.262]   70	  99	 300	  765295	-69.00	 0.00	0	 69	0.60	0.10	160
[2020-07-05 16:46:29.389]   70	  84	 300	  765415	-69.00	 0.00	0	 69	0.60	0.10	160
[2020-07-05 16:46:29.577]   70	  84	 300	  765535	-69.00	 0.00	0	 69	0.60	0.10	160
[2020-07-05 16:46:29.663]   70	 109	 300	  765555	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.689]   70	 127	 300	  765575	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.712]   70	 136	 300	  765595	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.739]   70	 152	 300	  765615	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.763]   70	 158	 300	  765645	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.784]   70	 169	 300	  765665	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.810]   70	 180	 300	  765685	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.823]   70	 182	 300	  765715	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.843]   70	 191	 300	  765735	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.859]   70	 193	 300	  765755	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.866]   70	 200	 300	  765785	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.877]   70	 201	 300	  765805	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.948]   70	 204	 300	  765825	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.958]   70	 204	 300	  765855	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.972]   70	 206	 300	  765875	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.983]   70	 207	 300	  765895	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:29.995]   70	 210	 300	  765926	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:30.006]   70	 211	 300	  765946	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:30.016]   70	 220	 300	  765966	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:30.027]   70	 234	 300	  765998	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:30.043]   70	 236	 300	  766019	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:30.062]   70	 242	 300	  766039	-69.00	 0.00	2	 69	0.60	0.10	160
